Service,Custodian,Delivered by,Policy area
Adapt a vehicle,Not known,DVLA DVSA,driving
Adopt a child,Not known,Courts-Tribunals-Service DfE Passport-Office local-government,childcare-and-parenting
Apply for a passport,Not known,Passport-Office,visas-and-immigration
Be re-setted in the UK,Not known,Home-Office local-government,visas-and-immigration
Become a British citizen,Not known,Home-Office,visas-and-immigration
Become a childminder,Not known,Home-Office HMRC local-government Ofsted,childcare-and-parenting
Become a scrap dealer,Not known,local-government,driving
Breed dogs,Not known,local-government RSPCA Veterinary-Medicines-Directorate,business
Bring a pet to the UK,Not known,Animal-and-Plant-Health-Agency Border-Force HMRC vet-industry,visas-and-immigration
Bring freight in to and out of the UK,Not known,Home-Office,import-and-export
Build a car,Not known,DVLA DVSA,driving
Build at sea,Not known,Environment-Agency Marine-Management-Organisation,environment-and-countryside
Buy a business with vehicles,Not known,DVLA DVSA HMRC,driving
Buy a house,Not known,estate-agent-industry Land-Registry local-government HMRC,housing
Buy a personalised registration,Not known,DVLA,driving
Buy a vehicle ,Not known,DVLA insurance-industry local-government,driving
Buy land,Not known,HMRC Land-Registry,housing
Buy shares,Not known,Companies-House HMRC,business
Care for someone,Not known,DWP DoH local-government Office-Public-Guardian,births-deaths-marriages-and-care
Change gender,Not known,Courts-Tribunals-Service DVLA Passport-Office,births-deaths-marriages-and-care
Check penalty points,Not known,DVLA,driving
Close a charity,Not known,Charity-Commission HMRC,citizenship
Declare bankruptcy,Not known,Courts-Tribunals-Service Insolvency-Service,crime-justice-and-the-law
Dismiss an employee,Not known,DWP HMRC,business
Donate blood,Not known,DoH,health
Dredge a river,Not known,Environment-Agency ,environment-and-countryside
Drive a bus / mini-bus,Not known,DVLA DVSA,driving
Drive a heavy vehicle,Not known,DVLA DVSA DoH,driving
Drive a moped or motobike,Not known,approved-training-body DVLA,driving
Drive a taxi,Not known,DVLA insurance-industry local-government,driving
Drive abroad,Not known,DVLA,driving
Drive in the UK,Not known,DVLA DVSA,driving
Drive tractor or specialist vehicle,Not known,DVLA,driving
Drive with a medical condition,Lee Croucher,DoH DVLA DVSA,driving
Employ a driver,Not known,DVLA,driving
Employ someone,Not known,Disclosure-and-Barring-Service DVLA Home-Office HMRC,business
Enter the UK ,Not known,Home-Office local-government,visas-and-immigration
Export a vehicle,Not known,DVLA HMRC,driving
Find a school,Not known,DfF local-government,education
Find childcare,Not known,DfE Ofsted local-government,childcare-and-parenting
Foster a child,Not known,DfE DWP Home-office HMRC local-government,childcare-and-parenting
Get a divorce,Not known,Courts-Tribunals-Service MoJ,births-deaths-marriages-and-care
Get a parking permit,Not known,local-government,driving
Get a skip,Not known,local-government,environment-and-countryside
Get an apprenticeship ,Not known,DWP HMRC National-Apprenticeship-Service ,work
Get disqualified from driving,Not known,DVLA DVSA Courts-Tribunals-Service,driving
Get funding for research,Not known,BEIS DfE,education
Get housing,Not known,DWP local-government,housing
Get married,Not known,HMRC local-government ,births-deaths-marriages-and-care
Get planning permission,Not known,DCLG English-Heritage Environment-Agency local-government Natural-England,housing
Get your pension,Not known,DWP HMRC,money
Go fishing,Jeremy Gallop,Environment-Agency Marine-Management-Organisation,environment-and-countryside
Go to prison,Not known,Courts-Tribunals-Service Home-Office Police Prison-Service,crime-justice-and-the-law
Go to university,Not known,DfE Ucas Student-Loans-Company universities,education
Grow crops,Not known,Animal-and-Plant-Health-Agency,environment-and-countryside
Have a baby,Not known,DoH DWP local-government HMRC,childcare-and-parenting
Help paying for childcare,Not known,local-government HMRC ,childcare-and-parenting
Help with court fees,Adrian Woodcock,MoJ Courts-Tribunals-Service,crime-justice-and-the-law
Import a vehicle,Not known,DVLA HMRC,driving
Inherit property,Not known,Courts-Tribunals-Service HMRC local-government,births-deaths-marriages-and-care
Invest in a company,Not known,BEIS Companies-House HMRC,business
Join a library,Not known,local-government,education
Jury service,Not known,Courts-Tribunals-Service,crime-justice-and-the-law
Learn to drive,Not known,DVLA DVSA ,driving
Leave prison,Not known,MoJ,crime-justice-and-the-law
Leave the UK,Not known,FCO Home-Office,visas-and-immigration
Let a property,Not known,local-government ,housing
Live independently,Not known,DWP DoH local-government,work
Make a will,Not known,HMRC MoJ legal-industry,births-deaths-marriages-and-care
Manufacture food,Not known,Food-Standards-Agency local-government,health
Manufacture vehicles,Not known,DVLA HMRC Vehicle-Cerification-Agency,driving
Move abroad,Not known,FCO HMRC Home-Office,visas-and-immigration
Move house,Not known,DVLA HMRC local-government ,housing 
Move livestock ,Not known,DEFRA,environment-and-countryside
Move school,Not known,DfE local-government,education
Move waste,Not known,Environment-Agency local-government,environment-and-countryside
Move wildlife,Not known,Natural-England,environment-and-countryside
Open a cinema,Not known,local-government,business
Open a gambling shop,Not known,gambling-commission local-government,business
Open a sex shop,Not known,Home-Office local-government police,business
Operate large vehicles,Not known,DVLA DVSA HMRC,driving
Own a boat,Not known,Canal-River-Trust Environment-Agency Maritime-and-Coastguard-Agency,transport
Own a firearm,Not known,Home-Office police,crime-justice-and-the-law
Pay a fine,Not known,DVLA local-government,driving
Pay to use a UK road,Not known,DVLA,driving
Pay vehicle tax,Not known,DVLA,driving
Plan for retirement,Not known,DWP HMRC,money
Prepare for flooding,Not known,Environment-Agency insurance-industry local-government,environment-and-countryside
Protect intellectual property,Not known,Intellectual-Property-Office,business
Protest for or against something,Not known,local-government parliament,citizenship
Prove idenity,Jess McEvoy,DVLA GDS Passport-Office,citizenship
Put up scaffolding ,Not known,Environment-Agency local-government,housing
Register for organ donation,Not known,DoH,health
Register to vote,Francesca Garbarini,Cabinet-Office DCLG,citizenship
Renew driving licence,Not known,DVLA,driving
Renew vehicle insurance,Not known,insurance-industry,driving
Rent a vehicle,Not known,DVLA vehicle-rental-industry,driving
Rent out a property,Not known,Home-Office local-government ,housing
Repay student loan,Not known,DWP HMRC Student-Loans-Company,education
Report a crime,Not known,Home-Office police,crime-justice-and-the-law
Rubbish collection,Not known,local-government,environment-and-countryside
Run a cinema,Not known,BBFC local-government,business
Run a farm,Not known,DEFRA DVLA,environment-and-countryside
Run a gambling shop,Not known,Animal-and-Plant-Health-Agency Border-Force HMRC vet-industry,visas-and-immigration
Run a sex shop,Not known,Home-Office local-government police,business
Scrap a vehicle,Not known,DVLA scrap-metal-industry,driving
Sell a house,Not known,Land-Registry local-government HMRC estate-agent-industry,housing
Sell a personalised registration,Not known,DVLA,driving
Sell a vehicle,Not known,DVLA mechanic-industry,driving
Sell fireworks,Not known,Home-Office local-government,business
Sell fish,Not known,Centre-for-Environment-Fisheries-and-Aquaculture-Science Marine-Management-Organisation Sea-Fish-Industry-Authority ,environment-and-countryside
Sell food,Not known,Food-Standards-Agency local-government,health
Sell land,Not known,HMRC Land-Registry,housing
Sell pets,Not known,local-government RSPCA Veterinary-Medicines-Directorate,business
Sell shares,Not known,Companies-House HMRC,business
Send money to a prisoner,Not known,Prison-Service,crime-justice-and-the-law
Shut down a company,Not known,Companies-House HMRC ,business
Start a business,Not known,BEIS Companies-House HMRC Insolvency-Service,business
Start a charity,Not known,Charity-Commission HMRC,citizenship
Start a factory,Not known,Environment-Agency HMRC,environment-and-countryside
Start a farm ,Not known,DEFRA DVLA,environment-and-countryside
Start a gambling shop,Not known,gambling-commission local-government,business
Start a job,Not known,DWP HMRC,work
Start school,Not known,DfE local-government,education
Stay in contact with someone in prison,Not known,Prison-Service,crime-justice-and-the-law
Stay in the UK,Not known,Home-Office,visas-and-immigration
Stay in work,Not known,DWP DoH HMRC,work
Stop business with vehicles,Not known,DVLA DVSA HMRC,driving
Stop driving,Not known,DVLA DoH,driving
Stop working,Not known,DWP DoH HMRC,work
Study in the UK ,Not known,Border-Force DfE FCO Passport-Office,education
Take on an apprentice,Not known,DWP HMRC National-Apprenticeship-Service National-Career-Service,business
Teach people to drive,Not known,DVSA driving-instructors-industry,driving
Test vehicle,Not known,DVSA,driving
Test your vehicle,Not known,DVSA,driving
Tow caravan or trailer,Not known,DVLA,driving
Trade vehicles,Not known,DVLA HMRC,driving
Transfer a personalised registration,Not known,DVLA,driving
Transport goods,Not known,DVLA DVSA HMRC,driving
Transport passengers,Not known,DVLA DVSA,driving
Travel to other countries,Not known,Border-Force FCO Passport-Office ,visas-and-immigration
Update driving licence,Not known,DVLA,driving
Use a crane,Not known,local-government,housing
Use accessible parking,Not known,DfT local-government,driving
Visit the UK,Not known,Border-Force DCMS FCO Passport-Office,visas-and-immigration
Volunteer,Not known,Cabinet-Office charity-sector DWP,citizenship
What to do when someone has died,Not known,DoH HMRC funeralcare-industry local-government ,births-deaths-marriages-and-care
Work abroad,Not known,FCO HMRC Home-Office,visas-and-immigration
